tile_id,easting_m,northing_m,height_m
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387353.5,3899128.5,56.06
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387697.5,3899128.5,55.15
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11386079.5,3899127.5,59.2
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387073.5,3899127.5,59.81
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387170.5,3899127.5,55.3
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387181.5,3899127.5,51.14
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387186.5,3899127.5,51.33
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387217.5,3899127.5,55.95
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387224.5,3899127.5,55.63
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387235.5,3899127.5,55.2
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387295.5,3899127.5,54.5
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387312.5,3899127.5,57.5
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387338.5,3899127.5,58.0
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387367.5,3899127.5,58.95
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387376.5,3899127.5,59.28
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387654.5,3899127.5,59.67
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387679.5,3899127.5,56.01
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387703.5,3899127.5,52.88
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387721.5,3899127.5,54.28
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387739.5,3899127.5,51.03
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387745.5,3899127.5,53.53
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387079.5,3899126.5,59.57
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387126.5,3899126.5,53.91
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387132.5,3899126.5,53.21
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387145.5,3899126.5,54.79
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387151.5,3899126.5,56.07
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387190.5,3899126.5,51.27
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387212.5,3899126.5,56.54
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387253.5,3899126.5,54.38
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387257.5,3899126.5,54.49
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387275.5,3899126.5,57.82
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387300.5,3899126.5,56.61
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387319.5,3899126.5,57.67
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387349.5,3899126.5,57.67
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387661.5,3899126.5,56.16
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387673.5,3899126.5,53.98
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387709.5,3899126.5,54.31
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387754.5,3899126.5,54.59
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387877.5,3899126.5,57.86
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387088.5,3899125.5,57.2
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387121.5,3899125.5,53.13
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387241.5,3899125.5,54.18
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387265.5,3899125.5,56.43
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387281.5,3899125.5,56.96
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387288.5,3899125.5,54.67
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387304.5,3899125.5,56.36
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387323.5,3899125.5,54.67
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387342.5,3899125.5,57.65
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387690.5,3899125.5,53.35
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387714.5,3899125.5,55.24
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387727.5,3899125.5,51.74
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387750.5,3899125.5,53.46
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11386110.5,3899124.5,59.77
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387648.5,3899124.5,59.8
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387140.5,3899123.5,55.68
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387158.5,3899123.5,55.17
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387162.5,3899123.5,55.76
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387095.5,3899122.5,55.52
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387227.5,3899122.5,53.36
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387234.5,3899122.5,52.06
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387250.5,3899122.5,53.41
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387257.5,3899122.5,54.21
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387277.5,3899122.5,53.17
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387337.5,3899122.5,55.47
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387364.5,3899122.5,56.45
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387673.5,3899122.5,53.85
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387721.5,3899122.5,54.06
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387739.5,3899122.5,51.01
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387882.5,3899122.5,58.42
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387073.5,3899121.5,57.67
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387109.5,3899121.5,51.17
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387132.5,3899121.5,52.34
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387212.5,3899121.5,54.88
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387239.5,3899121.5,51.81
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387265.5,3899121.5,52.38
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387386.5,3899121.5,59.0
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387660.5,3899121.5,56.28
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387690.5,3899121.5,50.87
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387697.5,3899121.5,50.25
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387703.5,3899121.5,51.96
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387727.5,3899121.5,51.68
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387732.5,3899121.5,49.38
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387888.5,3899121.5,59.42
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11386081.5,3899120.5,59.37
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387149.5,3899120.5,54.79
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387173.5,3899120.5,50.67
USGS_LPC_VA_ChesapeakeBay_2015_LAS_S13_3889_30_chm,11387217.5,3899120.5,50.89
